 2003   0.00   0.00   0.00   3.19   0.00   1.19  14.00  11.52 111.06  30.50   0.00   4.81
 2004   0.00   0.00   0.00   0.00   0.00   0.00   0.00  64.69 155.01   5.24   1.09   0.85
 2005   0.00   0.00   0.00   0.00   0.00   2.92  60.38  39.22  68.21  52.41   8.97  13.22
 2006   4.80   0.00   0.00   0.00   0.00   2.76   2.94   9.59  59.64   3.61   0.00   0.00
 2007   0.00   0.00   0.00   0.00   0.89   0.77   0.53  35.80  29.00   2.61   3.01   1.27
 2008   0.00   0.00   0.00   0.00   0.53   0.25  37.56  25.78  61.21  11.19   9.20   0.00
 2009   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.06  11.22   3.19   8.11   0.00
 2010   0.00   0.00   0.00   0.00   0.00   5.81   2.30  37.02  88.50  24.57   7.29   0.00
 2011   0.00   0.00   0.00   0.00   0.00   1.88   7.21  27.58  54.20  31.69   3.75   0.00
 2012   0.00   0.00   0.00   0.00   4.36   6.84   0.00  36.04  56.89  28.50   0.00   0.00
 2013   0.00   0.00   0.00   0.00   0.00   2.38   5.05   2.20  16.06   5.43   3.47   1.53
 2014   0.00   0.00   0.00   0.00   0.00   0.00   6.95  13.44  16.56  29.78   0.00   0.00
 2015   0.00   0.00   0.00   0.00   2.12   1.07   1.13  15.83  12.31  26.58   3.65   0.00
 2016   4.17   0.00   0.00   0.00   0.56   2.11   0.00  28.81  27.28  71.28   7.03   0.00
 2017   0.00   0.00   0.00   0.00   0.00   2.40   4.20  38.20 174.10  18.80   1.70   0.00 
 2018   0.00   0.00   0.00   0.00   1.80   0.00  12.20   2.90  72.80  42.90   0.00   0.00 
 2019   0.00   0.00   0.00   0.00   0.40   0.00   3.50  16.4   93.4   12.6    5.90   0.00
